angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,2.619199999999999307e-01
-5.000000000000000000e+01,1.800000000000000000e+02,3.423900000000000832e-01
-4.000000000000000000e+01,1.800000000000000000e+02,4.136400000000000077e-01
-3.000000000000000000e+01,1.800000000000000000e+02,4.668200000000000127e-01
-2.000000000000000000e+01,1.800000000000000000e+02,5.012900000000000134e-01
-1.000000000000000000e+01,1.800000000000000000e+02,5.218399999999999705e-01
0.000000000000000000e+00,1.800000000000000000e+02,5.288000000000000478e-01
1.000000000000000000e+01,1.800000000000000000e+02,5.221999999999999975e-01
2.000000000000000000e+01,1.800000000000000000e+02,5.015600000000000058e-01
3.000000000000000000e+01,1.800000000000000000e+02,4.662499999999998868e-01
4.000000000000000000e+01,1.800000000000000000e+02,4.142600000000000171e-01
5.000000000000000000e+01,1.800000000000000000e+02,3.449600000000000444e-01
6.000000000000000000e+01,1.800000000000000000e+02,2.639599999999999724e-01
